Date	cases
2020-04-13	28
2020-04-14	28
2020-04-15	29
2020-04-16	29
2020-04-19	30
2020-04-20	31
2020-04-21	31
2020-04-22	35
2020-04-23	37
2020-04-24	38
2020-04-27	40
2020-04-28	40
2020-04-29	46
2020-04-30	46
2020-05-01	55
2020-05-02	56
2020-05-03	57
2020-05-04	60
2020-05-06	65
2020-05-07	64
2020-05-08	64
2020-05-09	64
2020-05-10	64
2020-05-11	64
2020-05-12	65
2020-05-13	66
2020-05-14	66
2020-05-15	67
2020-05-16	67
2020-05-17	67
2020-05-18	69
2020-05-19	70
2020-05-20	71
2020-05-21	71
2020-05-22	72
2020-05-23	72
2020-05-24	75
2020-05-26	75
2020-05-27	76
2020-05-28	77
2020-05-29	79
2020-05-30	80
2020-05-31	80
2020-06-01	83
2020-06-02	83
2020-06-03	83
2020-06-05	102
2020-06-06	112
2020-06-07	113
