Date	cases
3/18/2020	3
3/19/2020	6
3/20/2020	7
3/21/2020	8
3/22/2020	8
3/25/2020	22
3/26/2020	37
3/28/2020	49
3/30/2020	82
3/31/2020	113
4/2/2020	157
4/3/2020	197
4/4/2020	229
4/6/2020	295
4/7/2020	315
4/9/2020	387
4/11/2020	472
4/13/2020	541
4/14/2020	618
4/15/2020	642
4/16/2020	683
4/17/2020	735
4/18/2020	807
4/21/2020	977
4/22/2020	1054
4/23/2020	1124
4/24/2020	1164
4/27/2020	1868
4/28/2020	1915
4/29/2020	1975
4/30/2020	2030
5/1/2020	2086
5/2/2020	2120
5/4/2020	2157
5/5/2020	2184
5/6/2020	2224
5/7/2020	2249
5/8/2020	2294
5/9/2020	2319
5/11/2020	2342
5/12/2020	2353
5/13/2020	2383
5/14/2020	2404
5/15/2020	2424
5/16/2020	2447
5/18/2020	2475
5/19/2020	2496
5/20/2020	2506
5/21/2020	2522
5/22/2020	2541
5/25/2020	2576
5/26/2020	2585
5/27/2020	2595
5/28/2020	2612
5/29/2020	2619
6/1/2020	2637
6/2/2020	2641
6/3/2020	2645
6/4/2020	2653
6/5/2020	2665
6/8/2020	2682
6/9/2020	2687
6/10/2020	2824
6/11/2020	2836
6/12/2020	2845
6/15/2020	2872
6/17/2020	2886
6/19/2020	2890
6/22/2020	2905
6/23/2020	2909
6/25/2020	2912
