Date	cases
3/18/20	0
3/27/20	4
3/28/20	9
3/30/20	20
4/13/20	146
4/14/20	154
4/15/20	165
4/16/20	182
4/17/20	178
4/18/20	178
4/19/20	179
4/20/20	184
4/21/20	189
4/22/20	267
4/23/20	314
4/24/20	337
4/25/20	363
4/26/20	377
4/27/20	411
4/28/20	448
4/29/20	484
4/30/20	509
5/1/20	533
5/2/20	554
5/3/20	586
5/4/20	601
5/5/20	629
5/6/20	655
5/7/20	685
5/8/20	711
5/9/20	737
5/10/20	758
5/11/20	770
5/12/20	791
5/13/20	888
5/14/20	906
5/15/20	939
5/16/20	965
5/17/20	990
5/18/20	1004
5/19/20	1042
5/21/20	1078
5/22/20	1107
5/23/20	1123
5/24/20	1161
5/25/20	1181
5/26/20	1196
5/27/20	1216
5/28/20	1233
5/29/20	1269
5/30/20	1288
5/31/20	1321
6/1/20	1335
6/2/20	1338
6/3/20	1363
6/4/20	1391
6/5/20	1419
6/6/20	1433
6/7/20	1446
6/8/20	1449
6/9/20	1464
6/10/20	1474
6/11/20	1513
6/12/20	1523
6/13/20	1529
6/14/20	1537
6/16/20	1540
6/17/20	1543
