Date	cases
2020-04-13	89
2020-04-14	95
2020-04-15	95
2020-04-16	103
2020-04-19	105
2020-04-20	105
2020-04-21	107
2020-04-22	143
2020-04-23	150
2020-04-24	155
2020-04-27	158
2020-04-28	161
2020-04-29	165
2020-04-30	169
2020-05-01	175
2020-05-02	179
2020-05-03	189
2020-05-04	205
2020-05-06	212
2020-05-07	217
2020-05-08	219
2020-05-09	222
2020-05-10	226
2020-05-11	229
2020-05-12	232
2020-05-13	235
2020-05-14	240
2020-05-15	250
2020-05-16	252
2020-05-17	253
2020-05-18	254
2020-05-19	254
2020-05-20	254
2020-05-21	256
2020-05-22	261
2020-05-23	265
2020-05-24	269
2020-05-26	270
2020-05-27	270
2020-05-28	270
2020-05-29	270
