CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
ABINGTON	226	1258.28	1346	7494	16.80%
ACTON	148	623.63	1212	5107	12.20%
ACUSHNET	81	774.87	666	6371	12.20%
ADAMS	35	422.67	344	4154	10.20%
AGAWAM	433	1513.76	2079	7268	20.80%
ALFORD	0	0	7	1501	0.00%
AMESBURY	168	1009.29	1172	7041	14.30%
AMHERST	89	219.76	1115	2753	8.00%
ANDOVER	288	799.66	2008	5575	14.30%
AQUINNAH	0	0	10	3772	0.00%
ARLINGTON	291	635.25	2251	4914	12.90%
ASHBURNHAM	29	461.79	326	5191	8.90%
ASHBY	15	433.84	152	4396	9.90%
ASHFIELD	<5	NA	46	2682	NA
ASHLAND	232	1190.18	1233	6325	18.80%
ATHOL	55	459.67	864	7221	6.40%
ATTLEBORO	609	1316.25	3354	7249	18.20%
AUBURN	196	1188.42	1257	7622	15.60%
AVON	66	1506.61	397	9062	16.60%
AYER	72	891.09	1429	17686	5.00%
BARNSTABLE	339	755.93	2679	5974	12.70%
BARRE	53	953.62	315	5668	16.80%
BECKET	12	666.5	80	4443	15.00%
BEDFORD	218	1463.44	2268	15225	9.60%
BELCHERTOWN	92	577.79	676	4245	13.60%
BELLINGHAM	118	660.09	902	5046	13.10%
BELMONT	218	798.35	1302	4768	16.70%
BERKLEY	58	855.44	444	6549	13.10%
BERLIN	22	688.95	171	5355	12.90%
BERNARDSTON	6	286.94	92	4400	6.50%
BEVERLY	569	1382.19	2782	6758	20.50%
BILLERICA	509	1167.88	3109	7134	16.40%
BLACKSTONE	43	475.43	502	5550	8.60%
BLANDFORD	<5	NA	35	2881	NA
BOLTON	12	237.5	196	3879	6.10%
BOSTON	13061	1879.37	56074	8069	23.30%
BOURNE	151	721.8	1262	6033	12.00%
BOXBOROUGH	23	450.31	242	4738	9.50%
BOXFORD	38	492.41	354	4587	10.70%
BOYLSTON	20	445.55	250	5569	8.00%
BRAINTREE	777	1974.1	3213	8163	24.20%
BREWSTER	94	948.31	557	5619	16.90%
BRIDGEWATER	330	1160.05	3136	11024	10.50%
BRIMFIELD	5	134.21	134	3597	3.70%
BROCKTON	3961	4031.62	13555	13797	29.20%
BROOKFIELD	20	546.19	137	3741	14.60%
BROOKLINE	349	542.06	2473	3841	14.10%
BUCKLAND	8	430	18	968	44.40%
BURLINGTON	246	889.9	1624	5875	15.10%
CAMBRIDGE	918	813.93	9525	8445	9.60%
CANTON	271	1174.96	2088	9053	13.00%
CARLISLE	15	314.55	173	3628	8.70%
CARVER	52	427.06	642	5273	8.10%
CHARLEMONT	<5	NA	52	4365	NA
CHARLTON	66	469.01	924	6566	7.10%
CHATHAM	13	221.99	343	5857	3.80%
CHELMSFORD	309	858.77	3032	8427	10.20%
CHELSEA	2713	7203.05	6742	17900	40.20%
CHESHIRE	<5	NA	129	4327	NA
CHESTER	5	368.42	54	3979	9.30%
CHESTERFIELD	<5	NA	37	3023	NA
CHICOPEE	396	694.55	3122	5476	12.70%
CHILMARK	<5	NA	39	5040	NA
CLARKSBURG	7	415.82	55	3267	12.70%
CLINTON	211	1499.09	1125	7993	18.80%
COHASSET	23	310.83	347	4689	6.60%
COLRAIN	<5	NA	56	3487	NA
CONCORD	162	865.16	1912	10211	8.50%
