CITY.TOWN	CASE	RATE	TOTAL.PERSONS.TESTED	TESTED.RATE	PERCENT.POSITIVITY
ABINGTON	231	1286.12	1622	9030.70	14.24%
ACTON	156	657.33	1618	6817.74	9.64%
ACUSHNET	86	822.70	915	8753.13	9.40%
ADAMS	35	422.67	484	5844.92	7.23%
AGAWAM	450	1573.19	2666	9320.26	16.88%
ALFORD	<5	NA	15	3215.80	NA
AMESBURY	175	1051.34	1460	8771.21	11.99%
AMHERST	93	229.64	1564	3861.93	5.95%
ANDOVER	300	832.98	3052	8474.22	9.83%
AQUINNAH	<5	NA	25	9429.34	NA
ARLINGTON	304	663.63	3241	7075.04	9.38%
ASHBURNHAM	32	509.56	443	7054.25	7.22%
ASHBY	15	433.84	211	6102.72	7.11%
ASHFIELD	<5	NA	66	3848.65	NA
ASHLAND	245	1256.88	1610	8259.47	15.22%
ATHOL	62	518.17	1142	9544.41	5.43%
ATTLEBORO	650	1404.86	4169	9010.59	15.59%
AUBURN	213	1291.50	1585	9610.48	13.44%
AVON	72	1643.58	477	10888.69	15.09%
AYER	130	1608.91	2002	24777.29	6.49%
BARNSTABLE	359	800.53	3589	8003.04	10.00%
BARRE	61	1097.56	409	7359.07	14.91%
BECKET	14	777.58	110	6109.59	12.73%
BEDFORD	262	1758.82	4190	28127.63	6.25%
BELCHERTOWN	101	634.31	900	5652.29	11.22%
BELLINGHAM	124	693.65	1207	6751.94	10.27%
BELMONT	229	838.64	1813	6639.52	12.63%
BERKLEY	68	1002.93	591	8716.60	11.51%
BERLIN	20	626.32	225	7046.12	8.89%
BERNARDSTON	6	286.94	133	6360.61	4.51%
BEVERLY	604	1467.21	3630	8817.82	16.64%
BILLERICA	535	1227.54	3905	8959.90	13.70%
BLACKSTONE	46	508.60	662	7319.46	6.95%
BLANDFORD	<5	NA	49	4033.84	NA
BOLTON	11	217.71	284	5620.89	3.87%
BOSTON	13783	1983.26	75465	10858.77	18.26%
BOURNE	152	726.58	1663	7949.33	9.14%
BOXBOROUGH	24	469.89	333	6519.71	7.21%
BOXFORD	39	505.36	487	6310.57	8.01%
BOYLSTON	20	445.55	336	7485.18	5.95%
BRAINTREE	808	2052.86	4276	10863.90	18.90%
BREWSTER	103	1039.11	722	7283.85	14.27%
BRIDGEWATER	356	1251.45	3692	12978.53	9.64%
BRIMFIELD	6	161.06	184	4939.04	3.26%
BROCKTON	4172	4246.39	16109	16396.22	25.90%
BROOKFIELD	19	518.88	200	5461.93	9.50%
BROOKLINE	379	588.65	3703	5751.39	10.23%
BUCKLAND	8	430.00	21	1128.75	38.10%
BURLINGTON	264	955.02	2261	8179.14	11.68%
CAMBRIDGE	977	866.24	15237	13509.67	6.41%
CANTON	282	1222.65	2633	11415.73	10.71%
CARLISLE	15	314.55	253	5305.37	5.93%
CARVER	57	468.12	870	7145.05	6.55%
CHARLEMONT	<5	NA	67	5624.34	NA
CHARLTON	74	525.86	1196	8499.07	6.19%
CHATHAM	18	307.37	459	7837.93	3.92%
CHELMSFORD	331	919.91	3858	10722.15	8.58%
CHELSEA	2885	7659.63	7778	20650.69	37.09%
CHESHIRE	<5	NA	189	6339.32	NA
CHESTER	<5	NA	68	5010.58	NA
CHESTERFIELD	<5	NA	61	4984.34	NA
CHICOPEE	422	740.16	4402	7720.77	9.59%
CHILMARK	<5	NA	124	16025.10	NA
CLARKSBURG	7	415.82	74	4395.86	9.46%
CLINTON	241	1712.23	1545	10976.72	15.60%
COHASSET	25	337.86	460	6216.61	5.43%
COLRAIN	<5	NA	75	4670.28	NA
CONCORD	172	918.56	2382	12720.99	7.22%
CONWAY	<5	NA	106	5467.56	NA
