Date	cases
2020/3/14	1
2020/3/15	2
2020/3/16	2
2020/3/17	3
2020/3/18	4
2020/3/19	5
2020/3/20	7
2020/3/21	12
2020/3/22	13
2020/3/23	16
2020/3/24	19
2020/3/25	27
2020/3/26	38
2020/3/27	55
2020/3/28	75
2020/3/29	86
2020/3/30	101
2020/3/31	115
2020/4/1	165
2020/4/2	212
2020/4/3	267
2020/4/4	310
2020/4/5	333
2020/4/6	372
2020/4/7	398
2020/4/8	440
2020/4/9	482
2020/4/10	593
2020/4/11	640
2020/4/12	686
2020/4/13	715
2020/4/14	868
2020/4/15	910
2020/4/16	963
2020/4/17	1067
2020/4/18	1135
2020/4/19	1171
2020/4/20	1199
2020/4/21	1239
2020/4/22	1445
2020/4/23	1542
2020/4/24	1618
2020/4/25	1697
2020/4/26	1751
2020/4/27	1806
2020/4/28	1910
2020/4/29	1986
2020/4/30	2071
2020/5/1	2190
2020/5/2	2297
2020/5/3	2386
2020/5/4	2462
2020/5/5	2504
2020/5/6	2588
2020/5/7	2698
2020/5/8	2773
2020/5/9	2854
2020/5/10	2924
2020/5/11	2971
2020/5/12	3003
2020/5/13	3082
2020/5/14	3206
2020/5/15	3311
2020/5/16	3393
2020/5/17	3468
2020/5/18	3522
2020/5/19	3556
2020/5/20	3661
2020/5/21	3760
2020/5/22	3846
2020/5/23	3904
2020/5/24	3962
