CITY.TOWN	CASE	RATE
ABINGTON	143	796.17
ACTON	74	311.81
ACUSHNET	35	334.82
ADAMS	32	386.44
AGAWAM	317	1108.22
ALFORD	0	0.00
AMESBURY	72	432.55
AMHERST	83	204.95
ANDOVER	158	438.70
AQUINNAH	0	0.00
ARLINGTON	218	475.89
ASHBURNHAM	16	254.78
ASHBY	8	231.38
ASHFIELD	<5	*
ASHLAND	128	656.65
ATHOL	38	317.59
ATTLEBORO	443	957.47
AUBURN	55	333.49
AVON	48	1095.72
AYER	40	495.05
BARNSTABLE	187	416.99
BARRE	37	665.73
BECKET	11	610.96
BEDFORD	152	1020.38
BELCHERTOWN	62	389.38
BELLINGHAM	78	436.33
BELMONT	162	593.27
BERKLEY	33	486.71
BERLIN	15	469.74
BERNARDSTON	<5	*
BEVERLY	363	881.78
BILLERICA	346	793.89
BLACKSTONE	23	254.30
BLANDFORD	0	0.00
BOLTON	9	178.13
BOSTON	9284	1335.89
BOURNE	121	578.39
BOXBOROUGH	13	254.52
BOXFORD	28	362.83
BOYLSTON	10	222.77
BRAINTREE	570	1448.18
BREWSTER	87	877.69
BRIDGEWATER	183	643.30
BRIMFIELD	<5	*
BROCKTON	2735	2783.76
BROOKFIELD	6	163.86
BROOKLINE	263	408.48
BUCKLAND	7	376.25
BURLINGTON	173	625.83
CAMBRIDGE	773	685.37
CANTON	219	949.50
CARLISLE	7	146.79
CARVER	26	213.53
CHARLEMONT	0	0.00
CHARLTON	38	270.04
CHATHAM	11	187.84
CHELMSFORD	229	636.44
CHELSEA	1965	5217.10
CHESHIRE	<5	*
CHESTER	6	442.11
CHESTERFIELD	<5	*
CHICOPEE	248	434.97
CHILMARK	<5	*
CLARKSBURG	7	415.82
CLINTON	87	618.11
COHASSET	18	243.26
COLRAIN	<5	*
CONCORD	117	624.83
CONWAY	<5	*
CUMMINGTON	<5	*
DALTON	6	91.99
DANVERS	467	1635.39
DARTMOUTH	161	437.27
DEDHAM	239	881.11
DEERFIELD	6	112.52
DENNIS	51	385.67
DIGHTON	35	446.10
DOUGLAS	26	276.61
DOVER	14	268.65
DRACUT	296	916.26
DUDLEY	40	323.00
DUNSTABLE	7	210.08
DUXBURY	47	310.57
EAST BRIDGEWATER	127	860.64
EAST BROOKFIELD	6	267.68
EAST LONGMEADOW	178	1052.35
EASTHAM	10	215.22
EASTHAMPTON	50	308.38
EASTON	195	822.84
EDGARTOWN	<5	*
EGREMONT	<5	*
ERVING	<5	*
ESSEX	15	403.15
EVERETT	1004	2068.55
FAIRHAVEN	92	573.90
FALL RIVER	481	537.75
FALMOUTH	124	396.78
FITCHBURG	238	564.61
FLORIDA	<5	*
FOXBOROUGH	77	425.11
FRAMINGHAM	816	1095.80
FRANKLIN	86	254.35
FREETOWN	54	596.80
GARDNER	104	520.26
GEORGETOWN	29	324.61
GILL	<5	*
GLOUCESTER	143	499.56
GOSHEN	<5	*
GOSNOLD	0	0.00
GRAFTON	52	260.73
GRANBY	18	293.09
GRANVILLE	8	514.04
GREAT BARRINGTON	46	676.89
GREENFIELD	157	904.15
GROTON	22	188.92
GROVELAND	14	204.87
HADLEY	27	469.54
HALIFAX	25	327.17
HAMILTON	21	280.97
HAMPDEN	16	323.84
HANCOCK	<5	*
HANOVER	44	307.16
HANSON	66	616.43
HARDWICK	<5	*
HARVARD	14	202.10
HARWICH	36	286.55
HATFIELD	8	246.37
HAVERHILL	600	911.22
HAWLEY	0	0.00
HEATH	0	0.00
HINGHAM	148	622.17
HINSDALE	<5	*
HOLBROOK	135	1195.21
HOLDEN	50	265.10
HOLLAND	5	195.29
HOLLISTON	34	246.65
HOLYOKE	596	1446.45
HOPEDALE	17	299.35
HOPKINTON	108	661.99
HUBBARDSTON	<5	*
HUDSON	99	472.63
HULL	32	324.00
HUNTINGTON	9	406.99
IPSWICH	46	342.09
KINGSTON	61	449.74
LAKEVILLE	41	363.13
LANCASTER	54	630.27
LANESBOROUGH	5	164.14
LAWRENCE	1639	1858.78
LEE	15	255.11
LEICESTER	91	807.89
LENOX	12	245.97
LEOMINSTER	207	509.95
LEVERETT	<5	*
LEXINGTON	257	754.88
LEYDEN	0	0.00
LINCOLN	25	288.92
LITTLETON	76	782.04
LONGMEADOW	177	1141.22
LOWELL	1649	1411.11
LUDLOW	59	282.78
LUNENBURG	34	326.71
LYNN	2056	2037.60
LYNNFIELD	73	626.66
MALDEN	751	1108.43
MANCHESTER	13	262.82
MANSFIELD	110	465.39
MARBLEHEAD	118	614.02
MARION	7	150.85
MARLBOROUGH	429	987.59
MARSHFIELD	106	409.91
MASHPEE	37	240.61
MATTAPOISETT	15	259.45
